formula_id,texapon_sb_3_kc_pct,plantapon_acg_50_pct,plantapon_lc_7_pct,plantacare_818_pct,plantacare_2000_pct,dehyton_mc_pct,dehyton_pk_45_pct,dehyton_ml_pct,dehyton_ab_30_pct,plantapon_amino_scg_l_pct,plantapon_amino_kg_l_pct,dehyquart_a_ca_pct,luviquat_excellence_pct,dehyquart_cc6_pct,dehyquart_cc7_benz_pct,salcare_super_7_pct,arlypon_f_pct,arlypon_tt_pct,water_pct,is_stable,turbidity_ntu,turbidity_error,viscosity_category,rheology_type
126,0.0,0.0,0.0,0.0,0.0,0.0,13.08,0.0,0.0,0.0,0.0,8.95,2.16,0.0,0.0,0.0,0.0,5.52,70.29,0,,,,
127,0.0,0.0,0.0,0.0,0.0,0.0,9.69,0.0,12.51,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,3.45,73.56,0,,,,
128,0.0,12.9,0.0,0.0,0.0,0.0,0.0,10.49,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,4.9,70.17,0,,,,
129,0.0,0.0,0.0,0.0,0.0,7.59,0.0,0.0,0.0,0.0,0.0,10.81,2.79,0.0,0.0,0.0,0.0,2.07,76.74,0,,,,
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.14,12.55,2.32,0.0,0.0,0.0,0.0,1.85,71.14,0,,,,
131,0.0,0.0,0.0,0.0,0.0,0.0,11.28,0.0,0.0,0.0,0.0,13.02,1.55,0.0,0.0,0.0,0.0,2.16,71.99,1,252.0,72.0,MEDIUM,OTHER
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.87,0.0,0.0,0.0,12.92,2.9,0.0,0.0,0.0,0.0,4.32,66.99,0,,,,
133,0.0,0.0,0.0,0.0,0.0,9.28,11.56,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,2.26,74.86,0,,,,
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.91,0.0,12.9,2.77,0.0,0.0,0.0,0.0,3.08,73.34,0,,,,
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.95,0.0,0.0,9.89,0.0,1.76,0.0,0.0,0.0,0.0,1.79,75.61,0,,,,
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.23,0.0,0.0,0.0,12.27,1.45,0.0,0.0,0.0,0.0,2.45,72.6,0,,,,
137,0.0,0.0,0.0,0.0,11.32,0.0,12.14,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,1.9,72.59,1,430.0,9.0,HIGH,OTHER
138,6.68,0.0,0.0,0.0,0.0,12.45,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,1.88,77.86,0,,,,
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.51,0.0,9.1,0.0,1.74,0.0,0.0,0.0,0.0,2.43,74.22,0,,,,
140,0.0,0.0,0.0,11.04,0.0,10.52,0.0,0.0,0.0,0.0,0.0,0.0,2.96,0.0,0.0,0.0,0.0,2.18,73.3,0,,,,
141,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,11.89,2.36,0.0,0.0,0.0,0.0,3.78,72.77,0,,,,
